user_id,duration,interArrivalTime,Type
43,69,170.0,Human
43,90,118.0,Human
43,81,152.0,Human
43,144,213.0,Human
43,120,40.0,Human
43,140,1793.0,Human
43,101,43.0,Human
43,159,471.0,Human
43,320,13.0,Human
43,90,702.0,Human
43,95,184.0,Human
43,105,156.0,Human
43,85,99.0,Human
43,85,246.0,Human
43,110,1460.0,Human
43,120,65.0,Human
43,109,151.0,Human
43,96,61.0,Human
43,100,694.0,Human
43,100,130.0,Human
43,95,99.0,Human
43,90,131.0,Human
43,146,270.0,Human
43,106,44.0,Human
43,98,1051.0,Human
43,125,116.0,Human
43,115,33.0,Human
43,291,587.0,Human
43,129,13.0,Human
43,89,776.0,Human
43,75,105.0,Human
43,71,125.0,Human
43,59,99.0,Human
43,99,291.0,Human
43,72,742.0,Human
43,154,254.0,Human
43,145,33.0,Human
43,55,186.0,Human
43,80,184.0,Human
43,371,102.0,Human
43,110,1784.0,Human
43,75,79.0,Human
43,121,142.0,Human
43,149,324.0,Human
43,95,15.0,Human
43,84,1180.0,Human
50,308,2443.0,Human
50,75,1045.0,Human
50,116,3725.0,Human
52,123,2267.0,Human
52,400,1192.0,Human
52,110,3392.0,Human
53,86,4479.0,Human
53,141,2834.0,Human
53,95,1286.0,Human
53,142,1467.0,Human
53,105,125.0,Human
55,88,369.0,Human
55,56,2320.0,Human
55,72,440.0,Human
55,40,1120.0,Human
55,80,1272.0,Human
55,56,888.0,Human
55,72,368.0,Human
55,64,320.0,Human
55,72,2168.0,Human
55,40,1216.0,Human
55,72,544.0,Human
55,56,1344.0,Human
55,80,2232.0,Human
55,64,1224.0,Human
55,31,4543.0,Human
